commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
01004,Ambï¿½rieu-en-Bugey,EXPOSITO,Josiane,F,LDVG,AMBERIEU AMBITION,954,False,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01004,Ambï¿½rieu-en-Bugey,PIDOUX,Catherine,F,LDVG,VIVONS NOTRE VILLE,822,False,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01004,Ambï¿½rieu-en-Bugey,FORTIN,Christophe,M,LUMP,AMBERIEU RENOUVEAU,1383,False,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01004,Ambï¿½rieu-en-Bugey,FABRE,Daniel,M,LDVD,PAROLE  AUX AMBARROIS,1426,False,14081.0,51.61,48.39,19.82,20.54,19.52,17.84,13.92,8.35,27.46,18.74,25.43,16.12
01005,Ambï¿½rieux-en-Dombes,PERNET,Pierre,M,LDIV,ENGAGES POUR VOTRE AVENIR,479,True,1671.0,49.61,50.39,20.52,15.41,19.79,23.14,14.35,6.78,30.05,17.97,23.73,7.86
01007,Ambronay,LEVRAT,Gisï¿½le,F,LDVG,AMBRONAY POUR TOUS,552,False,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01007,Ambronay,FOURNIER,Gabriel,M,LDVD,AMBRONAY Demain,178,False,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01007,Ambronay,MANCUSO,Vincent,M,LDVD,AGIR ENSEMBLE POUR L'AVENIR D'AMBRONAY,461,False,2684.0,51.01,48.99,22.44,14.35,23.19,19.22,14.29,6.5,28.27,20.41,26.76,8.52
01010,Anglefort,NANTERME,Jacky,M,LDVD,AGIR ENSEMBLE POUR ANGLEFORT,228,True,1124.0,50.94,49.06,23.77,14.44,21.79,19.91,13.27,6.82,33.92,19.62,18.99,9.65
01010,Anglefort,THIBOUD,Bernard,M,LDVD,ENSEMBLE CONTINUONS ANGLEFORT,292,True,1124.0,50.94,49.06,23.77,14.44,21.79,19.91,13.27,6.82,33.92,19.62,18.99,9.65
01014,Arbent,MAISSIAT,Liliane,F,LUMP,"POUR L'AVENIR DE TOUS, CONTINUONS ENSEMBLE",930,True,3379.0,50.97,49.03,19.06,14.52,18.68,20.58,19.72,7.45,25.36,16.18,18.33,14.07
01021,Ars-sur-Formans,DUVIVIER,Patrick,M,LDIV,J'aime mon village,315,True,1389.0,51.45,48.55,19.52,15.85,21.49,20.7,17.06,5.38,26.46,20.4,34.01,6.51
01021,Ars-sur-Formans,PACCAUD,Richard,M,LDIV,ARS 2014,411,True,1389.0,51.45,48.55,19.52,15.85,21.49,20.7,17.06,5.38,26.46,20.4,34.01,6.51
01022,Artemare,CHARMONT-MUNET,Mireille,F,LDVD,"AVEC VOUS, GARDONS LE CAP",386,True,1227.0,50.77,49.23,16.63,14.51,16.3,20.78,19.56,12.22,37.82,14.29,15.65,14.07
01022,Artemare,LESEUR,Philippe,M,LDVD,"ARTEMARE, UNE DYNAMIQUE POUR L'AVENIR",207,True,1227.0,50.77,49.23,16.63,14.51,16.3,20.78,19.56,12.22,37.82,14.29,15.65,14.07
01024,Attignat,GOYARD,Martial,M,LDVG,ENSEMBLE POUR ATTIGNAT 2014 - 2020,580,True,3270.0,50.39,49.61,21.86,15.54,20.87,20.46,15.01,6.26,34.04,18.56,26.65,6.9
01024,Attignat,MARTIN,Walter,M,LDVD,ATTIGNAT 2014... UN AUTRE AVENIR,840,True,3270.0,50.39,49.61,21.86,15.54,20.87,20.46,15.01,6.26,34.04,18.56,26.65,6.9
01025,Bï¿½gï¿½-la-Ville,REPIQUET,Dominique,M,LDIV,Prï¿½parons l'avenir,825,True,4088.0,49.32,50.68,23.07,13.28,23.36,20.21,14.01,6.07,28.92,17.45,24.24,7.32
01027,Balan,HALET,Jean-Michel,M,LDVG,Ensemble pour un nouveau dynamisme ï¿½ Balan,215,True,2856.0,39.29,60.71,16.34,42.07,18.26,12.74,8.12,2.47,28.55,30.07,20.18,3.93
01027,Balan,BOUVIER,Gï¿½rard,M,LDVD,BALAN 2014 HORIZON 2020,555,True,2856.0,39.29,60.71,16.34,42.07,18.26,12.74,8.12,2.47,28.55,30.07,20.18,3.93
01031,Bellignat,ARBANT,Jean-Georges,M,LDVG,BELLIGNAT UN AVENIR POUR TOUS,605,True,3618.0,51.46,48.54,20.2,18.73,19.32,18.27,16.53,6.95,23.64,17.95,19.29,14.98
01031,Bellignat,PAVIOT,Bernard,M,LDVD,BELLIGNAT NOUVEL HORIZON,398,True,3618.0,51.46,48.54,20.2,18.73,19.32,18.27,16.53,6.95,23.64,17.95,19.29,14.98
01032,Bï¿½ligneux,CALAIS,Dominique,M,LDIV,TOUS UNIS POUR BELIGNEUX,295,True,3314.0,51.6,48.4,26.06,16.56,22.42,16.94,11.53,6.48,29.03,19.97,27.15,8.57
01032,Bï¿½ligneux,SIGOIRE,Francis,M,LDIV,ENSEMBLE POUR Bï¿½LIGNEUX,834,True,3314.0,51.6,48.4,26.06,16.56,22.42,16.94,11.53,6.48,29.03,19.97,27.15,8.57
01033,Bellegarde-sur-Valserine,BALLOFFET,Clara,F,LDVG,LA MAJORITE SILENCIEUSE,162,False,16302.0,50.67,49.33,20.45,17.47,20.82,19.32,13.89,8.05,28.98,16.28,21.38,16.09
01033,Bellegarde-sur-Valserine,BLOCH,Jean-Sï¿½bastien,M,LDVG,UN NOUVEL ELAN A GAUCHE POUR BELLEGARDE,706,True,16302.0,50.67,49.33,20.45,17.47,20.82,19.32,13.89,8.05,28.98,16.28,21.38,16.09
01033,Bellegarde-sur-Valserine,PETIT,Rï¿½gis,M,LDVD,"BELLEGARDE, NOTRE VILLE, NOTRE PASSION",2191,True,16302.0,50.67,49.33,20.45,17.47,20.82,19.32,13.89,8.05,28.98,16.28,21.38,16.09
01034,Belley,FOGNINI,Jean-Marc,M,LSOC,CONTINUONS BELLEY ENSEMBLE,1538,False,9133.0,52.92,47.08,18.69,16.38,17.21,19.4,15.58,12.73,26.88,16.37,22.3,16.51
