commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P14_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,median_income,poverty_rate
01004,Amb�rieu-en-Bugey,EXPOSITO,Josiane,F,LDVG,AMBERIEU AMBITION,949,True,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02,19756.0,16.0
01004,Amb�rieu-en-Bugey,PIDOUX,Catherine,F,LDVG,VIVONS NOTRE VILLE,741,True,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02,19756.0,16.0
01004,Amb�rieu-en-Bugey,FABRE,Daniel,M,LDVD,PAROLE  AUX AMBARROIS,2678,True,14022.0,51.64,48.36,19.92,19.95,20.01,18.18,12.92,9.02,19756.0,16.0
01007,Ambronay,LEVRAT,Gis�le,F,LDVG,AMBRONAY POUR TOUS,610,True,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59,21679.0,9.0
01007,Ambronay,FOURNIER,Gabriel,M,LDVD,AMBRONAY Demain,153,True,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59,21679.0,9.0
01007,Ambronay,MANCUSO,Vincent,M,LDVD,AGIR ENSEMBLE POUR L'AVENIR D'AMBRONAY,541,True,2570.0,51.01,48.99,22.28,15.75,20.8,20.29,13.29,7.59,21679.0,9.0
01034,Belley,FOGNINI,Jean-Marc,M,LSOC,CONTINUONS BELLEY ENSEMBLE,1936,True,8983.0,52.85,47.15,18.72,16.17,17.48,18.9,15.23,13.5,18563.0,19.0
01034,Belley,JIMENEZ,Christian,M,LDVD,BELLEY NOUVEL HORIZON 2014,2029,True,8983.0,52.85,47.15,18.72,16.17,17.48,18.9,15.23,13.5,18563.0,19.0
01160,Ferney-Voltaire,MEYLAN,Fran�ois,M,LDVG,FERNEY AVENIR 2014,1056,True,9337.0,52.11,47.89,18.92,19.5,25.47,19.29,11.17,5.65,25135.0,22.0
01160,Ferney-Voltaire,RAPHOZ,Daniel,M,LDVD,FERNEY-VOLTAIRE VALEURS COMMUNES,1075,True,9337.0,52.11,47.89,18.92,19.5,25.47,19.29,11.17,5.65,25135.0,22.0
01185,Hauteville-Lompnes,JOLY,Fabienne,F,LDVG,VALORISONS ENSEMBLE NOS RICHESSES,515,True,3829.0,51.82,48.18,12.47,15.25,14.96,19.79,18.98,18.56,20333.0,11.0
01185,Hauteville-Lompnes,ARGENTI,Bernard,M,LUDI,OSONS L'AVENIR,815,True,3829.0,51.82,48.18,12.47,15.25,14.96,19.79,18.98,18.56,20333.0,11.0
01194,Jassans-Riottier,REVERCHON,Jean-Pierre,M,LDIV,UN SOUFFLE NOUVEAU POUR JASSANS,1538,True,6222.0,52.08,47.92,19.2,16.67,17.76,21.2,14.82,10.34,21133.0,11.0
01194,Jassans-Riottier,FOURNET,Jacqueline,F,LDVD,Agissons ensemble pour demain,1171,True,6222.0,52.08,47.92,19.2,16.67,17.76,21.2,14.82,10.34,21133.0,11.0
01249,Miribel,GIRON,Andr�,M,LDVG,L'EVEIL DE MIRIBEL,231,False,9425.0,51.08,48.92,20.78,17.61,19.87,20.31,12.45,8.99,23167.0,8.0
01249,Miribel,VIRICEL,Sylvie,F,LDVG,MIRIBEL COMME VOUS L'AIMEZ,1771,True,9425.0,51.08,48.92,20.78,17.61,19.87,20.31,12.45,8.99,23167.0,8.0
01249,Miribel,GAITET,Jean-Pierre,M,LDVD,UN RENOUVEAU POUR MIRIBEL,1679,True,9425.0,51.08,48.92,20.78,17.61,19.87,20.31,12.45,8.99,23167.0,8.0
01262,Montluel,BERNARD,Jacky,M,LSOC,"Osons Montluel, ville d'avenir",1210,True,7036.0,51.71,48.29,21.2,19.35,20.14,18.78,12.08,8.45,20350.0,12.0
01262,Montluel,DAUBIE,Romain,M,LDVD,VIVONS MONTLUEL ENSEMBLE,1577,True,7036.0,51.71,48.29,21.2,19.35,20.14,18.78,12.08,8.45,20350.0,12.0
01263,Montmerle-sur-Sa�ne,CAMPION,Alain,M,LDVD,MONTMERLE HORIZON 2020,860,True,3811.0,50.48,49.52,20.26,14.91,18.31,21.57,14.39,10.57,22354.0,7.0
01263,Montmerle-sur-Sa�ne,LAMURE,Rapha�l,M,LDVD,MONTMERLE AVEC VOUS,869,True,3811.0,50.48,49.52,20.26,14.91,18.31,21.57,14.39,10.57,22354.0,7.0
01290,P�rouges,VERNAY,Paul,M,LVEC,PEROUGES POUR TOUS,290,True,1206.0,51.2,48.8,16.34,15.31,17.15,23.15,16.9,11.15,25037.0,
01290,P�rouges,BOINON,Philippe,M,LDIV,"PEROUGES, L'EXPERIENCE AUTREMENT",219,True,1206.0,51.2,48.8,16.34,15.31,17.15,23.15,16.9,11.15,25037.0,
01290,P�rouges,MARCOU,Claude,M,LDVD,"PEROUGES, TRADITION ET MODERNITE",171,True,1206.0,51.2,48.8,16.34,15.31,17.15,23.15,16.9,11.15,25037.0,
01303,Poncin,MERMET,Jacques,M,LDIV,PONCIN AU QUOTIDIEN,164,True,1681.0,49.73,50.27,21.37,15.97,18.22,20.19,13.95,10.29,19240.0,
01303,Poncin,TRAVARD,Jo�l,M,LDIV,PONCIN DEMAIN,266,True,1681.0,49.73,50.27,21.37,15.97,18.22,20.19,13.95,10.29,19240.0,
01303,Poncin,GIROUX,Jean-Michel,M,LDVD,UNIS POUR PONCIN,392,True,1681.0,49.73,50.27,21.37,15.97,18.22,20.19,13.95,10.29,19240.0,
01314,Priay,THEVEAUX,G�rard,M,LDIV,Vivre � Priay,404,True,1666.0,50.75,49.25,22.24,16.96,21.01,20.7,11.56,7.53,21676.0,
01314,Priay,FAVIER,Jean-Louis,M,LDVD,EQUILIBRE et DYNAMISME pour PRIAY,372,True,1666.0,50.75,49.25,22.24,16.96,21.01,20.7,11.56,7.53,21676.0,
01371,Saint-Marcel,NOUET,Jacky,M,LDVG,BIEN VIVRE ENSEMBLE A SAINT MARCEL EN DOMBES,173,True,1350.0,48.71,51.29,23.96,20.15,21.47,22.47,8.66,3.29,22038.0,
01371,Saint-Marcel,PETRONE,Dominique,M,LDIV,"UN VILLAGE, UNE EQUIPE, UN MAIRE",286,True,1350.0,48.71,51.29,23.96,20.15,21.47,22.47,8.66,3.29,22038.0,
01371,Saint-Marcel,DUSSAUGE,Thierry,M,LDVD,GENERATIONS SAINT MARCEL,134,True,1350.0,48.71,51.29,23.96,20.15,21.47,22.47,8.66,3.29,22038.0,
02173,Chauny,HEREDIA,Francis,M,LUG,UN AVENIR POUR CHAUNY,855,True,11897.0,53.05,46.95,18.39,18.46,17.79,19.06,15.38,10.92,16409.0,28.0
02173,Chauny,LALONDE,Marcel,M,LDVD,Action pour l'Avenir de Chauny,2246,True,11897.0,53.05,46.95,18.39,18.46,17.79,19.06,15.38,10.92,16409.0,28.0
02173,Chauny,AGOUTIN,V�ronique,F,LFN,CHAUNY FAIT FRONT,921,True,11897.0,53.05,46.95,18.39,18.46,17.79,19.06,15.38,10.92,16409.0,28.0
02307,La Fert�-Milon,LE FRERE-LETOFFE,C�line,F,LDIV,L'UNION DU BON SENS POUR ENTREPRENDRE,525,True,2147.0,51.3,48.7,18.68,16.8,19.0,19.12,15.55,10.86,20099.0,11.0
02307,La Fert�-Milon,CLEMENT,Jean-Marc,M,LDVD,NOUVEL ELAN MILONAIS,488,True,2147.0,51.3,48.7,18.68,16.8,19.0,19.12,15.55,10.86,20099.0,11.0
02334,Fresnoy-le-Grand,DUPUY,Patrick,M,LDVD,A VOTRE �COUTE ENSEMBLE OSONS,530,True,2973.0,51.33,48.67,20.33,16.09,17.4,20.45,15.76,9.97,16712.0,22.0
02334,Fresnoy-le-Grand,FLAMANT,Pierre,M,LDVD,Un autre choix pour Fresnoy,880,True,2973.0,51.33,48.67,20.33,16.09,17.4,20.45,15.76,9.97,16712.0,22.0
02340,Gauchy,CAPPELE,Jean-Claude,M,LDVG,Avec vous et pour vous continuons � construire le Gauchy de demain,1189,True,5343.0,52.33,47.67,18.31,16.2,16.94,21.37,17.02,10.16,18615.0,16.0
02340,Gauchy,GILLIARD,Philip,M,LDVG,Renouveau a Gauchy,194,True,5343.0,52.33,47.67,18.31,16.2,16.94,21.37,17.02,10.16,18615.0,16.0
02340,Gauchy,WEBER,Jean-Marc,M,LDVD,Gauchy une Mairie pour Tous,1431,True,5343.0,52.33,47.67,18.31,16.2,16.94,21.37,17.02,10.16,18615.0,16.0
02397,Jussy,GONDRY,Jean-Marie,M,LDIV,UNION POUR JUSSY,365,True,1217.0,50.53,49.47,20.59,18.12,21.07,19.39,13.15,7.68,18914.0,
02397,Jussy,BETEMS,Fr�d�rique,F,LDVD,Tous ensemble pour Jussy,285,True,1217.0,50.53,49.47,20.59,18.12,21.07,19.39,13.15,7.68,18914.0,
02722,Soissons,DAY,Patrick,M,LUG,EN AVANT SOISSONS AVEC PATRICK DAY,3870,True,28290.0,53.74,46.26,18.4,18.69,17.82,18.92,14.63,11.54,16513.0,27.0
