year,file,stage,commune_code,commune_name,is_dom_tom
2008,plus_1000_tour1,census,22007,Binic,False
2008,plus_1000_tour1,census,50173,Equeurdreville-Hainneville,False
2008,plus_1000_tour1,census,50203,La Glacerie,False
2008,plus_1000_tour1,census,50416,Querqueville,False
2008,plus_1000_tour1,census,50602,Tourlaville,False
2008,plus_1000_tour1,census,69152,Pierre-Bénite,False
2008,plus_1000_tour1,census,74011,Annecy-le-Vieux,False
2008,plus_1000_tour1,census,74093,Cran-Gevrier,False
2008,plus_1000_tour1,census,74182,Meythet,False
2008,plus_1000_tour1,census,74268,Seynod,False
2008,plus_1000_tour1,census,76095,Bihorel,False
2008,plus_1000_tour1,census,77491,Veneux-les-Sablons,False
2008,plus_1000_tour1,census,78251,Fourqueux,False
2008,plus_1000_tour1,census,85060,Château-d'Olonne,False
2008,plus_1000_tour1,census,85166,Olonne-sur-Mer,False
2008,plus_1000_tour1,census,85217,Saint-Georges-de-Montaigu,False
2008,plus_1000_tour1,census,85224,Saint-Hilaire-de-Loulay,False
2008,plus_1000_tour1,census,91182,Courcouronnes,False
2008,plus_1000_tour1,census,93059,Pierrefitte-sur-Seine,False
2008,plus_1000_tour1,census,ZA101,Les Abymes,True
2008,plus_1000_tour1,census,ZA102,Anse-Bertrand,True
2008,plus_1000_tour1,census,ZA103,Baie-Mahault,True
2008,plus_1000_tour1,census,ZA104,Baillif,True
2008,plus_1000_tour1,census,ZA105,Basse-Terre,True
2008,plus_1000_tour1,census,ZA106,Bouillante,True
2008,plus_1000_tour1,census,ZA107,Capesterre-Belle-Eau,True
2008,plus_1000_tour1,census,ZA108,Capesterre-de-Marie-Galante,True
2008,plus_1000_tour1,census,ZA109,Gourbeyre,True
2008,plus_1000_tour1,census,ZA111,Deshaies,True
2008,plus_1000_tour1,census,ZA112,Grand-Bourg,True
2008,plus_1000_tour1,census,ZA113,Le Gosier,True
2008,plus_1000_tour1,census,ZA114,Goyave,True
2008,plus_1000_tour1,census,ZA115,Lamentin,True
2008,plus_1000_tour1,census,ZA116,Morne-à-l'Eau,True
2008,plus_1000_tour1,census,ZA117,Le Moule,True
2008,plus_1000_tour1,census,ZA118,Petit-Bourg,True
2008,plus_1000_tour1,census,ZA119,Petit-Canal,True
2008,plus_1000_tour1,census,ZA120,Pointe-à-Pitre,True
2008,plus_1000_tour1,census,ZA121,Pointe-Noire,True
2008,plus_1000_tour1,census,ZA122,Port-Louis,True
2008,plus_1000_tour1,census,ZA124,Saint-Claude,True
2008,plus_1000_tour1,census,ZA125,Saint-François,True
2008,plus_1000_tour1,census,ZA128,Sainte-Anne,True
2008,plus_1000_tour1,census,ZA129,Sainte-Rose,True
2008,plus_1000_tour1,census,ZA132,Trois-Rivières,True
2008,plus_1000_tour1,census,ZA134,Vieux-Habitants,True
2008,plus_1000_tour1,census,ZB203,Basse-Pointe,True
2008,plus_1000_tour1,census,ZB205,Case-Pilote,True
2008,plus_1000_tour1,census,ZB206,Le Diamant,True
2008,plus_1000_tour1,census,ZB207,Ducos,True
2008,plus_1000_tour1,census,ZB209,Fort-de-France,True
2008,plus_1000_tour1,census,ZB210,Le François,True
2008,plus_1000_tour1,census,ZB212,Gros-Morne,True
2008,plus_1000_tour1,census,ZB213,Le Lamentin,True
2008,plus_1000_tour1,census,ZB214,Le Lorrain,True
2008,plus_1000_tour1,census,ZB216,Le Marigot,True
2008,plus_1000_tour1,census,ZB217,Le Marin,True
2008,plus_1000_tour1,census,ZB218,Le Morne-Rouge,True
2008,plus_1000_tour1,census,ZB220,Rivière-Pilote,True
2008,plus_1000_tour1,census,ZB221,Rivière-Salée,True
2008,plus_1000_tour1,census,ZB222,Le Robert,True
2008,plus_1000_tour1,census,ZB223,Saint-Esprit,True
2008,plus_1000_tour1,census,ZB224,Saint-Joseph,True
2008,plus_1000_tour1,census,ZB225,Saint-Pierre,True
2008,plus_1000_tour1,census,ZB226,Sainte-Anne,True
2008,plus_1000_tour1,census,ZB227,Sainte-Luce,True
2008,plus_1000_tour1,census,ZB228,Sainte-Marie,True
2008,plus_1000_tour1,census,ZB229,Schoelcher,True
2008,plus_1000_tour1,census,ZB230,La Trinité,True
2008,plus_1000_tour1,census,ZB231,Les Trois-Ilets,True
2008,plus_1000_tour1,census,ZB232,LE VAUCLIN,True
2008,plus_1000_tour1,census,ZC302,Cayenne,True
2008,plus_1000_tour1,census,ZC304,Kourou,True
2008,plus_1000_tour1,census,ZC305,Macouria,True
2008,plus_1000_tour1,census,ZC306,Mana,True
2008,plus_1000_tour1,census,ZC307,Matoury,True
2008,plus_1000_tour1,census,ZC309,Remire-Montjoly,True
2008,plus_1000_tour1,census,ZC311,Saint-Laurent-du-Maroni,True
2008,plus_1000_tour1,census,ZC353,Maripasoula,True
2008,plus_1000_tour1,census,ZC360,Apatou,True
2008,plus_1000_tour1,census,ZD401,Les Avirons,True
2008,plus_1000_tour1,census,ZD402,Bras-Panon,True
2008,plus_1000_tour1,census,ZD403,Entre-Deux,True
2008,plus_1000_tour1,census,ZD404,L'Etang-Salé,True
2008,plus_1000_tour1,census,ZD405,Petite-Ile,True
2008,plus_1000_tour1,census,ZD406,La Plaine-des-Palmistes,True
2008,plus_1000_tour1,census,ZD407,Le Port,True
2008,plus_1000_tour1,census,ZD408,La Possession,True
2008,plus_1000_tour1,census,ZD409,Saint-André,True
2008,plus_1000_tour1,census,ZD410,Saint-Benoît,True
2008,plus_1000_tour1,census,ZD411,Saint-Denis,True
2008,plus_1000_tour1,census,ZD412,Saint-Joseph,True
2008,plus_1000_tour1,census,ZD413,Saint-Leu,True
2008,plus_1000_tour1,census,ZD414,Saint-Louis,True
2008,plus_1000_tour1,census,ZD415,Saint-Paul,True
2008,plus_1000_tour1,census,ZD416,Saint-Pierre,True
2008,plus_1000_tour1,census,ZD417,Saint-Philippe,True
2008,plus_1000_tour1,census,ZD418,Sainte-Marie,True
2008,plus_1000_tour1,census,ZD419,Sainte-Rose,True
2008,plus_1000_tour1,census,ZD420,Sainte-Suzanne,True
2008,plus_1000_tour1,census,ZD421,Salazie,True
2008,plus_1000_tour1,census,ZD422,Le Tampon,True
2008,plus_1000_tour1,census,ZD423,Les Trois-Bassins,True
2008,plus_1000_tour1,census,ZD424,Cilaos,True
2008,plus_1000_tour1,census,ZM501,ACOUA,True
2008,plus_1000_tour1,census,ZM502,BANDRABOUA,True
2008,plus_1000_tour1,census,ZM503,BANDRELE,True
2008,plus_1000_tour1,census,ZM504,BOUENI,True
2008,plus_1000_tour1,census,ZM505,CHICONI,True
2008,plus_1000_tour1,census,ZM506,CHIRONGUI,True
2008,plus_1000_tour1,census,ZM507,DEMBENI,True
2008,plus_1000_tour1,census,ZM508,DZAOUDZI,True
2008,plus_1000_tour1,census,ZM509,KANI-KELI,True
2008,plus_1000_tour1,census,ZM510,KOUNGOU,True
2008,plus_1000_tour1,census,ZM511,MAMOUDZOU,True
2008,plus_1000_tour1,census,ZM512,MTSAMBORO,True
2008,plus_1000_tour1,census,ZM513,M'TSANGAMOUJI,True
2008,plus_1000_tour1,census,ZM514,OUANGANI,True
2008,plus_1000_tour1,census,ZM515,PAMANDZI,True
2008,plus_1000_tour1,census,ZM516,SADA,True
2008,plus_1000_tour1,census,ZM517,TSINGONI,True
2008,plus_1000_tour1,census,ZN800,Nouméa,True
2008,plus_1000_tour1,census,ZN809,Mont-Dore,True
2008,plus_1000_tour1,census,ZN811,Belep,True
2008,plus_1000_tour1,census,ZN812,Boulouparis,True
2008,plus_1000_tour1,census,ZN813,Canala,True
2008,plus_1000_tour1,census,ZN814,Ouvéa,True
2008,plus_1000_tour1,census,ZN815,Hienghène,True
2008,plus_1000_tour1,census,ZN816,Houailou,True
2008,plus_1000_tour1,census,ZN817,Kaala-Gomen,True
2008,plus_1000_tour1,census,ZN818,Kouaoua,True
2008,plus_1000_tour1,census,ZN819,Moindou,True
2008,plus_1000_tour1,census,ZN820,Lifou,True
2008,plus_1000_tour1,census,ZN821,Ouégoa,True
2008,plus_1000_tour1,census,ZN822,Poindimié,True
2008,plus_1000_tour1,census,ZN823,Ponérihouen,True
2008,plus_1000_tour1,census,ZN824,Pouébo,True
2008,plus_1000_tour1,census,ZN825,Pouembout,True
2008,plus_1000_tour1,census,ZN826,Poum,True
2008,plus_1000_tour1,census,ZN827,Poya,True
2008,plus_1000_tour1,census,ZN828,Maré,True
2008,plus_1000_tour1,census,ZN829,Thio,True
2008,plus_1000_tour1,census,ZN831,Touho,True
2008,plus_1000_tour1,census,ZN832,Ile des Pins,True
2008,plus_1000_tour1,census,ZN833,Voh,True
2008,plus_1000_tour1,census,ZN834,Yaté,True
2008,plus_1000_tour1,census,ZN835,Dumbéa,True
2008,plus_1000_tour1,census,ZN850,Koumac,True
2008,plus_1000_tour1,census,ZN860,Koné,True
2008,plus_1000_tour1,census,ZN870,Bourail,True
2008,plus_1000_tour1,census,ZN880,La Foa,True
2008,plus_1000_tour1,census,ZN881,Farino,True
2008,plus_1000_tour1,census,ZN882,Sarraméa,True
2008,plus_1000_tour1,census,ZN890,Païta,True
2008,plus_1000_tour1,census,ZP012,Arue,True
2008,plus_1000_tour1,census,ZP015,Faa a,True
2008,plus_1000_tour1,census,ZP025,Mahina,True
2008,plus_1000_tour1,census,ZP033,Paea,True
2008,plus_1000_tour1,census,ZP034,Papara,True
2008,plus_1000_tour1,census,ZP035,Papeete,True
2008,plus_1000_tour1,census,ZP036,Pirae,True
2008,plus_1000_tour1,census,ZP038,Punaauia,True
2008,plus_1000_tour1,census,ZP058,Uturoa,True
2008,plus_1000_tour1,census,ZS002,Saint-Pierre,True
2008,plus_1000_tour1,income,ZA101,Les Abymes,True
2008,plus_1000_tour1,income,ZA102,Anse-Bertrand,True
2008,plus_1000_tour1,income,ZA103,Baie-Mahault,True
2008,plus_1000_tour1,income,ZA104,Baillif,True
2008,plus_1000_tour1,income,ZA105,Basse-Terre,True
2008,plus_1000_tour1,income,ZA106,Bouillante,True
2008,plus_1000_tour1,income,ZA107,Capesterre-Belle-Eau,True
2008,plus_1000_tour1,income,ZA108,Capesterre-de-Marie-Galante,True
2008,plus_1000_tour1,income,ZA109,Gourbeyre,True
2008,plus_1000_tour1,income,ZA111,Deshaies,True
2008,plus_1000_tour1,income,ZA112,Grand-Bourg,True
2008,plus_1000_tour1,income,ZA113,Le Gosier,True
2008,plus_1000_tour1,income,ZA114,Goyave,True
2008,plus_1000_tour1,income,ZA115,Lamentin,True
2008,plus_1000_tour1,income,ZA116,Morne-à-l'Eau,True
2008,plus_1000_tour1,income,ZA117,Le Moule,True
2008,plus_1000_tour1,income,ZA118,Petit-Bourg,True
2008,plus_1000_tour1,income,ZA119,Petit-Canal,True
2008,plus_1000_tour1,income,ZA120,Pointe-à-Pitre,True
2008,plus_1000_tour1,income,ZA121,Pointe-Noire,True
2008,plus_1000_tour1,income,ZA122,Port-Louis,True
2008,plus_1000_tour1,income,ZA124,Saint-Claude,True
2008,plus_1000_tour1,income,ZA125,Saint-François,True
2008,plus_1000_tour1,income,ZA128,Sainte-Anne,True
2008,plus_1000_tour1,income,ZA129,Sainte-Rose,True
2008,plus_1000_tour1,income,ZA132,Trois-Rivières,True
2008,plus_1000_tour1,income,ZA134,Vieux-Habitants,True
2008,plus_1000_tour1,income,ZB203,Basse-Pointe,True
2008,plus_1000_tour1,income,ZB205,Case-Pilote,True
2008,plus_1000_tour1,income,ZB206,Le Diamant,True
2008,plus_1000_tour1,income,ZB207,Ducos,True
2008,plus_1000_tour1,income,ZB209,Fort-de-France,True
2008,plus_1000_tour1,income,ZB210,Le François,True
2008,plus_1000_tour1,income,ZB212,Gros-Morne,True
2008,plus_1000_tour1,income,ZB213,Le Lamentin,True
2008,plus_1000_tour1,income,ZB214,Le Lorrain,True
2008,plus_1000_tour1,income,ZB216,Le Marigot,True
2008,plus_1000_tour1,income,ZB217,Le Marin,True
2008,plus_1000_tour1,income,ZB218,Le Morne-Rouge,True
2008,plus_1000_tour1,income,ZB220,Rivière-Pilote,True
2008,plus_1000_tour1,income,ZB221,Rivière-Salée,True
